0,0,0,0,0,0,0,2,9,8,9,8,9,8,9,8,9,8,9,8,60,60,60,8,9,8,9,8,9,8,9,8,1,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2,16,17,16,17,16,17,16,17,16,17,16,114,41,43,42,114,16,17,16,17,16,17,16,17,1,0,0,0,0,0,0,2
1,2,10,10,10,10,1,2,12,14,15,14,15,14,15,14,15,14,15,111,41,43,42,111,15,14,15,14,15,14,15,12,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,13,12,14,15,14,15,14,15,14,15,14,112,41,43,42,112,14,15,14,15,14,15,12,13,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,12,13,12,14,15,14,15,14,15,14,15,111,41,43,42,111,15,14,15,14,15,12,13,12,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,13,12,13,12,14,15,14,15,14,15,14,112,41,43,42,112,14,15,14,15,12,13,12,13,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,12,13,12,13,12,14,15,14,15,14,15,111,41,43,42,111,15,14,15,12,13,12,13,12,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,13,12,13,12,13,12,14,15,14,33,34,116,41,43,42,119,34,35,12,13,12,13,12,13,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,36,36,36,36,36,36,36,36,36,36,36,117,41,43,42,117,36,36,36,36,36,36,36,36,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,46,46,46,46,46,46,46,46,46,46,46,118,41,43,42,118,46,46,46,46,46,46,46,46,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,12,13,12,13,12,13,14,15,14,33,34,116,41,43,42,119,34,35,13,12,13,12,13,12,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,36,36,36,36,36,36,36,36,36,36,36,117,41,43,42,117,36,36,36,36,36,36,36,36,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,46,46,46,46,46,46,46,46,46,46,46,118,41,43,42,118,46,46,46,46,46,46,46,46,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,13,12,13,14,15,14,15,14,15,33,34,116,41,43,42,119,34,35,15,14,15,13,12,13,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,36,36,36,36,36,36,36,36,36,36,36,117,41,43,42,117,36,36,36,36,36,36,36,36,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,46,46,46,46,46,46,46,46,46,46,46,118,27,43,28,118,46,46,46,46,46,46,46,46,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,21,22,21,22,21,22,21,22,21,22,21,115,37,43,38,115,21,22,21,22,21,22,21,22,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,7,6,7,6,7,6,7,6,7,6,7,6,47,43,48,6,7,6,7,6,7,6,7,6,1,2,10,10,10,10,1,2
1,2,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,1,2
1,2,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,1,2
1,2,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,1,2
1,2,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,1,2
1,2,10,10,10,10,1,2,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,12,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,12,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,13,12,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,12,13,1,2,10,10,10,10,1,2
1,2,10,10,10,10,1,2,12,13,12,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,12,13,12,1,2,10,10,10,10,1,2
